Please,Sms,Account,Customer,Card,Email,Apple,Details,Update,Iphone,Online,Bank,Link,Message,Call,Store,Today,Nationwide,Refund,Due,size,email,http,phone,character,misspell,noun,pronoun,adjective,verb,adverb,preposition,conjunction,ari,fleashease,fleashgrade,gunning,smong,coleman,level
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,42.86,2,1,0,1,0,0,0,-7.15,134.08,-4.2,2,3,-7.08,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,21.43,3,2,1,1,0,1,2,-0.56,124.07,-2.06,5.55,6.87,1.46,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,15.15,5,4,3,3,3,4,1,2.75,101.61,3.56,7.2,3,1.51,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,11.32,13,3,1,1,4,1,6,6.51,94.43,3.57,7.03,6.87,8.25,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,5.56,5,3,2,3,5,0,1,1.2,116.11,-0.45,5.9,6.87,3.08,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,13.33,5,0,0,0,2,2,1,5.67,98.5,4.24,9.71,8.48,4.63,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,33.33,4,0,0,1,0,3,0,-1.3,131.21,-2.06,4.8,3,-0.63,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,25,2,1,1,1,0,1,0,5.22,90.09,4.42,11.33,10.75,6.15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,42.86,4,0,0,1,0,0,2,0.34,141.83,-3.79,4.4,3,1.82,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,50,6,0,0,0,0,0,0,-0.94,118.76,-0.57,4.4,3,0.21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,33.33,4,1,0,0,1,1,1,0.65,122.06,-0.54,5.2,3,1.37,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33.33,3,1,0,1,0,0,1,-2.28,131.9,-2.9,3.6,3,-0.81,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,100,3,0,0,0,0,0,0,5.62,54.7,7.37,14.23,10.75,9.36,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,21.43,4,0,1,0,1,1,1,0.83,84.26,3.49,7.91,8.48,3.19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,11.54,6,1,2,1,3,1,1,-2.54,115.13,-1.06,4.18,5.74,-0.85,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,62.5,6,0,0,0,0,0,0,9.76,72.62,5.86,8.04,8.48,13.6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,20,9,1,0,4,4,4,1,2.66,103.43,2.81,7.61,6.87,2.19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,40,1,1,0,0,2,0,0,-3.89,124.69,-2.15,3.2,3,-2.62,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,50,2,0,0,0,1,0,0,-0.44,90.96,2.31,14.23,10.75,1.79,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,33.33,1,1,0,0,1,1,0,4,84.9,3.65,12.49,10.75,7.04,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,100,1,0,0,0,0,0,0,-5.3,118.17,-2.23,1.6,3,-5.63,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,37.5,3,0,1,0,1,0,2,4.98,88.91,3.84,11.47,10.75,7.22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,27.27,4,1,0,1,2,1,2,1.01,141.58,-3.26,5.2,3,1.83,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,22.22,5,2,4,2,1,1,2,0.31,106.51,-0.6,1.6,3,2.16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,6.67,5,2,1,3,7,2,1,-0.32,98.73,1.48,4.41,5.74,1.8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,33.33,3,2,0,1,0,1,0,-2.73,109.09,-0.47,5.73,6.87,-1.17,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,33.33,1,1,0,1,0,0,0,-1.95,102.05,0.52,5.73,6.87,-0.18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,50,1,0,0,0,1,0,0,-1.78,115.13,-1.06,2.8,3,0.11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,25,1,2,0,0,1,1,1,-2.23,126.45,-1.65,4.4,3,-1.39,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,18.18,3,0,2,1,0,1,1,-1.78,109.09,-0.22,2.8,3,0.11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,23.33,2,2,5,0,5,1,0,-2.6,114.11,-0.67,5.62,6.87,-1.05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,25,2,0,0,1,2,1,1,1.63,95.69,2.65,4.4,3,3.43,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,62.96,13,0,4,0,0,2,0,1.47,89.75,2.48,9.47,9.12,4.15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,18.52,20,5,1,1,2,3,4,4.26,100.08,3.03,8.62,8.48,4.83,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,17.14,12,3,3,1,1,6,0,7.28,78.46,7.04,11.81,10.75,6.65,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,19.23,8,1,3,2,2,0,1,1.41,102.19,2.48,6.98,6.87,1.63,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,22.22,2,0,0,1,1,0,0,-0.52,131.21,-2.06,4.8,3,0.35,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,14.29,2,0,2,0,1,2,1,4.23,95.42,3.92,6.4,3,4.41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,13.64,1,3,0,4,2,1,1,-2.94,120.88,-1.61,3.2,3,-1.49,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,62.5,2,1,0,0,1,0,0,-1.83,112.08,0.11,4,3,-0.54,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,25,0,0,1,0,0,0,0,-2.92,132.05,-3.42,2.8,3,-1.34,0
